"id","date","holiday_name","information","more_information","tenant_id","created_at","updated_at","deleted_at","creator_id"
"abbf828b-44d3-4abf-9d96-9a47da3334db","2021-04-02 00:00:00","Founders Day11","Observed across the org","Offices closed","TENANT-20260116-0001","2026-03-18 08:17:33.195","2026-03-18 08:17:33.195",NULL,"66556575-dda4-4843-a5ba-aac44284dc69"
"acdef190-2a50-43bc-9247-ee698d151005","2026-04-19 00:00:00","Saturday before Easter Sunday","","https://business.vic.gov.au/business-information/public-holidays/victorian-public-holidays-2025","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"af83b2d6-a1b8-4d0b-b6bd-71ad036896ab","2024-06-10 00:00:00","Sovereign's Birthday","Celebrated on second Monday in June except in Western Australia and Queensland.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"b0a8d2d1-0530-4e6c-ae34-17f314a2293a","2026-07-18 00:00:00","Katherine Show Day","Regional holiday - to find out which show day applies to your area, check the map of NT show day regions.","https://www.nt.gov.au/nt-public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"b0cfa512-e2ce-4978-9ec3-d4811d379b5c","2024-08-14 00:00:00","Royal Queensland Show (Brisbane only)","The Royal National Agricultural (RNA) Show Day (Brisbane only) is held on the Wednesday during the RNA Show period. The RNA Show commences on the first Friday in August, unless the first Friday is prior to 5 August, then it commences on the second Friday of August.","https://www.qld.gov.au/recreation/travel/holidays/public","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"b34539d0-1424-417a-b387-4eca78564c1b","2023-03-13 00:00:00","Canberra Day","Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"b5351862-627b-41e3-a846-96ba1759e5c1","2021-12-25 00:00:00","Christmas Day","Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"b556a304-813e-4c56-9c6f-edec6fead4ad","2022-12-24 00:00:00","Christmas Eve 6pm - Midnight","Part day public holiday from 6pm to midnight","https://www.qld.gov.au/recreation/travel/holidays/public","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"b67a6268-9c33-4c70-ad06-3b2f70809bc3","2021-12-28 00:00:00","Boxing Day (additional day)","As 26 December (Boxing Day) falls on a Sunday in 2021, there is an additional public holiday on the Tuesday.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"b740dece-3307-4f51-9a39-4419d220cd7a","2021-05-03 00:00:00","Labour Day","Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.","https://www.qld.gov.au/recreation/travel/holidays/public","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
